level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	38	10	556	1490	15	22	93.062187	級
5	1	1	1	38	11	916	1510	68	14	86.117561	101112
5	1	1	1	38	12	994	1510	16	14	92.637749	13
5	1	1	1	38	13	1020	1510	17	14	93.170303	14
4	1	1	1	39	0	87	1548	950	38	-1	
5	1	1	1	39	1	87	1563	15	23	50.133778	5
5	1	1	1	39	2	337	1564	89	21	3.447197	AMO
5	1	1	1	39	3	528	1564	22	13	0.000000	m
5	1	1	1	39	4	914	1548	18	14	91.454132	05
5	1	1	1	39	5	942	1548	17	14	91.454132	06
5	1	1	1	39	6	968	1548	17	14	95.995377	07
5	1	1	1	39	7	994	1548	17	14	86.820541	08
5	1	1	1	39	8	1020	1548	17	14	86.820541	09
4	1	1	1	40	0	104	1564	933	36	-1	
5	1	1	1	40	1	104	1571	28	15	86.949776	us
5	1	1	1	40	2	266	1566	30	24	88.220284	[v.]
5	1	1	1	40	3	319	1565	14	23	96.758148	用
5	1	1	1	40	4	342	1564	59	24	96.231873	公車
5	1	1	1	40	5	412	1580	38	8	91.270317	運送
5	1	1	1	40	6	449	1559	15	37	91.876389	;
5	1	1	1	40	7	476	1566	35	24	90.665817	[n.]
5	1	1	1	40	8	530	1564	45	24	96.538139	公車
5	1	1	1	40	9	916	1586	40	14	60.394733	1011
5	1	1	1	40	10	968	1586	16	14	60.394733	12
5	1	1	1	40	11	994	1586	16	14	93.042099	13
5	1	1	1	40	12	1020	1586	17	14	92.836922	14
4	1	1	1	41	0	616	1714	6	13	-1	
5	1	1	1	41	1	616	1714	6	13	96.363846	1
